('93.180.71.3', '17/May/2015:08:05:23 +0000', 'GET', '/downloads/product_1', '304', '0')
('217.168.17.5', '17/May/2015:08:05:34 +0000', 'GET', '/downloads/product_1', '200', '490')
('93.180.71.3', '17/May/2015:08:05:57 +0000', 'GET', '/downloads/product_1', '304', '0')
('217.168.17.5', '17/May/2015:08:05:42 +0000', 'GET', '/downloads/product_1', '404', '332')
('93.180.71.3', '17/May/2015:08:05:27 +0000', 'GET', '/downloads/product_1', '304', '0')
('188.138.60.101', '17/May/2015:08:05:49 +0000', 'GET', '/downloads/product_2', '304', '0')
('46.4.66.76', '17/May/2015:08:05:45 +0000', 'GET', '/downloads/product_1', '404', '318')
('91.234.194.89', '17/May/2015:08:05:22 +0000', 'GET', '/downloads/product_2', '304', '0')
('37.26.93.214', '17/May/2015:08:05:38 +0000', 'GET', '/downloads/product_2', '404', '319')
('93.180.71.3', '17/May/2015:08:05:11 +0000', 'GET', '/downloads/product_1', '404', '340')
('62.75.198.179', '17/May/2015:08:05:06 +0000', 'GET', '/downloads/product_2', '200', '490')
('173.203.139.108', '17/May/2015:08:05:53 +0000', 'GET', '/downloads/product_1', '304', '0')
('46.4.83.163', '17/May/2015:08:05:52 +0000', 'GET', '/downloads/product_2', '304', '0')
('31.22.86.126', '17/May/2015:08:05:24 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:08:05:50 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:08:05:35 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:08:05:59 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:08:05:48 +0000', 'GET', '/downloads/product_1', '404', '324')
('62.75.198.179', '17/May/2015:08:05:39 +0000', 'GET', '/downloads/product_2', '304', '0')
('188.138.60.101', '17/May/2015:08:05:48 +0000', 'GET', '/downloads/product_2', '304', '0')
('50.57.209.92', '17/May/2015:08:05:25 +0000', 'GET', '/downloads/product_1', '304', '0')
('173.203.139.108', '17/May/2015:08:05:08 +0000', 'GET', '/downloads/product_1', '304', '0')
('93.190.71.150', '17/May/2015:08:05:33 +0000', 'GET', '/downloads/product_2', '304', '0')
('46.4.83.163', '17/May/2015:08:05:20 +0000', 'GET', '/downloads/product_1', '304', '0')
('54.187.216.43', '17/May/2015:08:05:07 +0000', 'GET', '/downloads/product_2', '200', '951')
('80.91.33.133', '17/May/2015:08:05:02 +0000', 'GET', '/downloads/product_1', '304', '0')
('5.83.131.103', '17/May/2015:08:05:31 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:08:05:46 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:08:05:41 +0000', 'GET', '/downloads/product_1', '304', '0')
('23.23.226.37', '17/May/2015:08:05:19 +0000', 'GET', '/downloads/product_2', '200', '2578')
('173.203.139.108', '17/May/2015:08:05:56 +0000', 'GET', '/downloads/product_1', '404', '331')
('31.22.86.126', '17/May/2015:08:05:10 +0000', 'GET', '/downloads/product_1', '304', '0')
('91.239.186.133', '17/May/2015:08:05:11 +0000', 'GET', '/downloads/product_2', '304', '0')
('200.6.73.40', '17/May/2015:08:05:23 +0000', 'GET', '/downloads/product_1', '304', '0')
('93.190.71.150', '17/May/2015:08:05:35 +0000', 'GET', '/downloads/product_2', '304', '0')
('173.203.139.108', '17/May/2015:08:05:18 +0000', 'GET', '/downloads/product_1', '404', '333')
('217.168.17.5', '17/May/2015:08:05:27 +0000', 'GET', '/downloads/product_2', '404', '339')
('80.91.33.133', '17/May/2015:08:05:25 +0000', 'GET', '/downloads/product_1', '304', '0')
('173.203.139.108', '17/May/2015:08:05:52 +0000', 'GET', '/downloads/product_1', '404', '334')
('80.91.33.133', '17/May/2015:08:05:11 +0000', 'GET', '/downloads/product_1', '404', '324')
('173.203.139.108', '17/May/2015:08:05:29 +0000', 'GET', '/downloads/product_1', '404', '331')
('91.121.161.213', '17/May/2015:08:05:14 +0000', 'GET', '/downloads/product_2', '200', '490')
('80.91.33.133', '17/May/2015:08:05:27 +0000', 'GET', '/downloads/product_1', '304', '0')
('5.83.131.103', '17/May/2015:08:05:57 +0000', 'GET', '/downloads/product_1', '404', '346')
('173.203.139.108', '17/May/2015:08:05:52 +0000', 'GET', '/downloads/product_1', '404', '331')
('93.180.71.3', '17/May/2015:08:05:28 +0000', 'GET', '/downloads/product_1', '404', '336')
('202.143.95.26', '17/May/2015:08:05:58 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:08:05:14 +0000', 'GET', '/downloads/product_1', '304', '0')
('173.203.139.108', '17/May/2015:08:05:35 +0000', 'GET', '/downloads/product_1', '404', '328')
('87.233.156.242', '17/May/2015:08:05:37 +0000', 'GET', '/downloads/product_2', '404', '318')
('50.57.209.92', '17/May/2015:08:05:16 +0000', 'GET', '/downloads/product_1', '304', '0')
('93.190.71.150', '17/May/2015:08:05:34 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:08:05:09 +0000', 'GET', '/downloads/product_1', '304', '0')
('217.168.17.5', '17/May/2015:08:05:07 +0000', 'GET', '/downloads/product_1', '404', '341')
('50.57.209.92', '17/May/2015:08:05:19 +0000', 'GET', '/downloads/product_1', '404', '335')
('91.121.161.213', '17/May/2015:08:05:28 +0000', 'GET', '/downloads/product_2', '304', '0')
('188.138.60.101', '17/May/2015:08:05:22 +0000', 'GET', '/downloads/product_2', '404', '337')
('134.119.20.172', '17/May/2015:09:05:28 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:09:05:55 +0000', 'GET', '/downloads/product_1', '304', '0')
('93.180.71.3', '17/May/2015:09:05:18 +0000', 'GET', '/downloads/product_1', '404', '341')
('50.57.209.92', '17/May/2015:09:05:25 +0000', 'GET', '/downloads/product_1', '404', '332')
('62.75.167.106', '17/May/2015:09:05:56 +0000', 'GET', '/downloads/product_2', '304', '0')
('93.64.134.186', '17/May/2015:09:05:29 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:09:05:26 +0000', 'GET', '/downloads/product_1', '304', '0')
('54.193.30.212', '17/May/2015:09:05:23 +0000', 'GET', '/downloads/product_2', '200', '951')
('91.239.186.133', '17/May/2015:09:05:46 +0000', 'GET', '/downloads/product_2', '404', '340')
('80.91.33.133', '17/May/2015:09:05:54 +0000', 'GET', '/downloads/product_1', '304', '0')
('93.190.71.150', '17/May/2015:09:05:38 +0000', 'GET', '/downloads/product_2', '404', '337')
('80.91.33.133', '17/May/2015:09:05:49 +0000', 'GET', '/downloads/product_1', '404', '324')
('217.168.17.5', '17/May/2015:09:05:09 +0000', 'GET', '/downloads/product_2', '304', '0')
('54.191.136.177', '17/May/2015:09:05:08 +0000', 'GET', '/downloads/product_2', '200', '951')
('91.234.194.89', '17/May/2015:09:05:57 +0000', 'GET', '/downloads/product_2', '404', '337')
('80.91.33.133', '17/May/2015:09:05:22 +0000', 'GET', '/downloads/product_1', '304', '0')
('91.121.161.213', '17/May/2015:09:05:58 +0000', 'GET', '/downloads/product_2', '404', '346')
('144.76.151.58', '17/May/2015:09:05:33 +0000', 'GET', '/downloads/product_2', '304', '0')
('50.57.209.92', '17/May/2015:09:05:19 +0000', 'GET', '/downloads/product_2', '404', '336')
('54.64.16.235', '17/May/2015:09:05:51 +0000', 'GET', '/downloads/product_2', '304', '0')
('202.143.95.26', '17/May/2015:09:05:28 +0000', 'GET', '/downloads/product_2', '304', '0')
('62.75.167.106', '17/May/2015:09:05:37 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:09:05:02 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:09:05:03 +0000', 'GET', '/downloads/product_1', '304', '0')
('5.83.131.103', '17/May/2015:09:05:56 +0000', 'GET', '/downloads/product_1', '404', '338')
('46.4.88.134', '17/May/2015:09:05:49 +0000', 'GET', '/downloads/product_1', '404', '318')
('93.64.134.186', '17/May/2015:09:05:28 +0000', 'GET', '/downloads/product_2', '304', '0')
('62.75.198.180', '17/May/2015:09:05:55 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:09:05:36 +0000', 'GET', '/downloads/product_1', '404', '324')
('80.91.33.133', '17/May/2015:09:05:17 +0000', 'GET', '/downloads/product_1', '404', '337')
('80.91.33.133', '17/May/2015:09:05:25 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:09:05:31 +0000', 'GET', '/downloads/product_1', '304', '0')
('93.190.71.150', '17/May/2015:09:05:56 +0000', 'GET', '/downloads/product_2', '404', '337')
('80.91.33.133', '17/May/2015:09:05:44 +0000', 'GET', '/downloads/product_1', '304', '0')
('91.121.161.213', '17/May/2015:09:05:34 +0000', 'GET', '/downloads/product_2', '404', '340')
('91.234.194.89', '17/May/2015:09:05:42 +0000', 'GET', '/downloads/product_2', '404', '337')
('188.138.60.101', '17/May/2015:09:05:41 +0000', 'GET', '/downloads/product_2', '404', '336')
('144.76.151.58', '17/May/2015:09:05:28 +0000', 'GET', '/downloads/product_2', '304', '0')
('144.76.117.56', '17/May/2015:09:05:59 +0000', 'GET', '/downloads/product_1', '304', '0')
('31.22.86.126', '17/May/2015:09:05:19 +0000', 'GET', '/downloads/product_1', '304', '0')
('62.75.167.106', '17/May/2015:09:05:03 +0000', 'GET', '/downloads/product_2', '304', '0')
('152.90.220.18', '17/May/2015:09:05:11 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:09:05:54 +0000', 'GET', '/downloads/product_1', '404', '340')
('50.57.209.92', '17/May/2015:09:05:42 +0000', 'GET', '/downloads/product_2', '404', '341')
('46.4.88.134', '17/May/2015:09:05:51 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:09:05:19 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:09:05:22 +0000', 'GET', '/downloads/product_1', '304', '0')
('5.83.131.103', '17/May/2015:09:05:07 +0000', 'GET', '/downloads/product_1', '404', '340')
('5.83.131.103', '17/May/2015:09:05:27 +0000', 'GET', '/downloads/product_1', '404', '338')
('202.143.95.26', '17/May/2015:09:05:08 +0000', 'GET', '/downloads/product_2', '304', '0')
('85.214.47.178', '17/May/2015:09:05:39 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.70.214.71', '17/May/2015:09:05:20 +0000', 'HEAD', '/downloads/product_1', '200', '0')
('54.64.16.235', '17/May/2015:09:05:55 +0000', 'GET', '/downloads/product_2', '304', '0')
('91.239.186.133', '17/May/2015:09:05:00 +0000', 'GET', '/downloads/product_2', '404', '339')
('200.6.73.40', '17/May/2015:09:05:30 +0000', 'GET', '/downloads/product_1', '404', '337')
('93.190.71.150', '17/May/2015:09:05:13 +0000', 'GET', '/downloads/product_2', '404', '340')
('80.91.33.133', '17/May/2015:09:05:32 +0000', 'GET', '/downloads/product_1', '404', '340')
('144.76.160.62', '17/May/2015:09:05:11 +0000', 'GET', '/downloads/product_2', '304', '0')
('217.168.17.5', '17/May/2015:09:05:12 +0000', 'GET', '/downloads/product_1', '404', '334')
('80.91.33.133', '17/May/2015:09:05:09 +0000', 'GET', '/downloads/product_1', '304', '0')
('144.76.151.58', '17/May/2015:09:05:42 +0000', 'GET', '/downloads/product_2', '404', '337')
('62.75.167.106', '17/May/2015:10:05:47 +0000', 'GET', '/downloads/product_2', '404', '340')
('37.187.238.39', '17/May/2015:10:05:22 +0000', 'GET', '/downloads/product_2', '404', '318')
('91.234.194.89', '17/May/2015:10:05:48 +0000', 'GET', '/downloads/product_2', '404', '339')
('188.138.60.101', '17/May/2015:10:05:58 +0000', 'GET', '/downloads/product_2', '404', '341')
('80.91.33.133', '17/May/2015:10:05:32 +0000', 'GET', '/downloads/product_1', '404', '324')
('46.4.88.134', '17/May/2015:10:05:54 +0000', 'GET', '/downloads/product_1', '304', '0')
('62.210.138.59', '17/May/2015:10:05:22 +0000', 'GET', '/downloads/product_2', '404', '318')
('80.91.33.133', '17/May/2015:10:05:16 +0000', 'GET', '/downloads/product_1', '404', '324')
('195.154.233.202', '17/May/2015:10:05:39 +0000', 'GET', '/downloads/product_2', '404', '318')
('80.91.33.133', '17/May/2015:10:05:14 +0000', 'GET', '/downloads/product_1', '404', '337')
('54.86.157.236', '17/May/2015:10:05:18 +0000', 'GET', '/downloads/product_1', '304', '0')
('54.86.157.236', '17/May/2015:10:05:36 +0000', 'GET', '/downloads/product_1', '304', '0')
('5.83.131.103', '17/May/2015:10:05:55 +0000', 'GET', '/downloads/product_1', '404', '337')
('5.83.131.103', '17/May/2015:10:05:05 +0000', 'GET', '/downloads/product_1', '404', '336')
('80.91.33.133', '17/May/2015:10:05:40 +0000', 'GET', '/downloads/product_1', '304', '0')
('84.53.65.28', '17/May/2015:10:05:25 +0000', 'GET', '/downloads/product_2', '304', '0')
('54.86.157.236', '17/May/2015:10:05:28 +0000', 'GET', '/downloads/product_1', '404', '324')
('91.121.161.213', '17/May/2015:10:05:18 +0000', 'GET', '/downloads/product_2', '404', '339')
('144.76.160.62', '17/May/2015:10:05:10 +0000', 'GET', '/downloads/product_2', '304', '0')
('93.64.134.186', '17/May/2015:10:05:54 +0000', 'GET', '/downloads/product_2', '404', '340')
('87.233.156.242', '17/May/2015:10:05:02 +0000', 'GET', '/downloads/product_2', '404', '337')
('91.239.186.133', '17/May/2015:10:05:50 +0000', 'GET', '/downloads/product_2', '404', '336')
('144.76.117.56', '17/May/2015:10:05:46 +0000', 'GET', '/downloads/product_1', '304', '0')
('37.187.238.39', '17/May/2015:10:05:05 +0000', 'GET', '/downloads/product_2', '304', '0')
('54.86.157.236', '17/May/2015:10:05:48 +0000', 'GET', '/downloads/product_1', '404', '337')
('83.161.14.106', '17/May/2015:10:05:13 +0000', 'GET', '/downloads/product_2', '404', '324')
('93.180.71.3', '17/May/2015:10:05:34 +0000', 'GET', '/downloads/product_1', '404', '336')
('46.4.88.134', '17/May/2015:10:05:16 +0000', 'GET', '/downloads/product_1', '304', '0')
('202.143.95.26', '17/May/2015:10:05:02 +0000', 'GET', '/downloads/product_2', '304', '0')
('62.75.198.180', '17/May/2015:10:05:36 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:10:05:23 +0000', 'GET', '/downloads/product_1', '404', '340')
('80.70.214.71', '17/May/2015:10:05:22 +0000', 'GET', '/downloads/product_2', '404', '326')
('188.138.60.101', '17/May/2015:10:05:38 +0000', 'GET', '/downloads/product_2', '404', '338')
('195.154.233.202', '17/May/2015:10:05:47 +0000', 'GET', '/downloads/product_2', '304', '0')
('144.76.151.58', '17/May/2015:10:05:10 +0000', 'GET', '/downloads/product_2', '404', '336')
('62.75.167.106', '17/May/2015:10:05:31 +0000', 'GET', '/downloads/product_2', '404', '337')
('50.57.209.92', '17/May/2015:10:05:16 +0000', 'GET', '/downloads/product_1', '404', '336')
('200.6.73.40', '17/May/2015:10:05:38 +0000', 'GET', '/downloads/product_1', '404', '339')
('54.187.216.43', '17/May/2015:10:05:55 +0000', 'GET', '/downloads/product_2', '200', '951')
('80.91.33.133', '17/May/2015:10:05:09 +0000', 'GET', '/downloads/product_1', '304', '0')
('202.143.95.26', '17/May/2015:10:05:05 +0000', 'GET', '/downloads/product_2', '404', '325')
('54.86.157.236', '17/May/2015:10:05:02 +0000', 'GET', '/downloads/product_1', '404', '341')
